Category,Difficulty,Word,Definition
Animals,Easy,LION,A large carnivorous big cat.
Animals,Easy,BEAR,A large furry omnivore.
Animals,Easy,WOLF,A wild canine predator.
Animals,Easy,FROG,A small amphibian that jumps.
Animals,Easy,DUCK,A waterbird with webbed feet.
Animals,Easy,DEER,A graceful forest herbivore.
Animals,Easy,CROW,A clever black bird.
Animals,Easy,CRAB,A crustacean with claws.
Animals,Easy,FISH,An aquatic vertebrate.
Animals,Easy,GOAT,A horned domesticated animal.
Animals,Medium,RABBIT,A small fluffy hopping mammal.
Animals,Medium,PARROT,A colorful talking bird.
Animals,Medium,JAGUAR,A large spotted wild cat.
Animals,Medium,DONKEY,A domesticated working animal.
Animals,Medium,FALCON,A fast bird of prey.
Animals,Medium,LIZARD,A reptile with scaly skin.
Animals,Medium,MONKEY,A primate with a long tail.
Animals,Medium,TURTLE,A reptile with a hard shell.
Animals,Medium,SALMON,A fish that swims upstream.
Animals,Medium,PIGEON,A common city bird.
Animals,Hard,ELEPHANT,The largest land animal.
Animals,Hard,CROCODILE,A large reptilian predator.
Animals,Hard,BUTTERFLY,A colorful winged insect.
Animals,Hard,PORCUPINE,An animal covered in sharp quills.
Animals,Hard,CHIMPANZEE,A great ape closely related to humans.
Animals,Hard,FLAMINGO,A pink wading bird.
Animals,Hard,KANGAROO,An Australian marsupial.
Animals,Hard,ALBATROSS,A large seabird with wide wingspan.
Animals,Hard,CHEETAH,The fastest land animal.
Animals,Hard,WOLVERINE,A ferocious small carnivore.
Countries,Easy,CUBA,An island nation in the Caribbean.
Countries,Easy,PERU,A South American country.
Countries,Easy,IRAN,A Middle Eastern nation.
Countries,Easy,IRAQ,A country in the Middle East.
Countries,Easy,CHAD,A landlocked African nation.
Countries,Easy,FIJI,A Pacific island country.
Countries,Easy,LAOS,A landlocked Southeast Asian nation.
Countries,Easy,MALI,A West African landlocked country.
Countries,Easy,OMAN,An Arabian Peninsula country.
Countries,Easy,TOGO,A small West African country.
Countries,Medium,BRAZIL,Largest country in South America.
Countries,Medium,FRANCE,A country in Western Europe.
Countries,Medium,CANADA,A country in North America.
Countries,Medium,GREECE,A country in Southern Europe.
Countries,Medium,MEXICO,A country in North America.
Countries,Medium,TURKEY,A transcontinental country.
Countries,Medium,SWEDEN,A Scandinavian country.
Countries,Medium,POLAND,A Central European country.
Countries,Medium,NORWAY,A Nordic country in Northern Europe.
Countries,Medium,ISRAEL,A country in the Middle East.
Countries,Hard,PORTUGAL,A country on the Iberian Peninsula.
Countries,Hard,SCOTLAND,A country that is part of Great Britain.
Countries,Hard,COLOMBIA,A country in northwestern South America.
Countries,Hard,THAILAND,A country in Southeast Asia.
Countries,Hard,ETHIOPIA,A landlocked country in Africa.
Countries,Hard,MALAYSIA,A Southeast Asian country.
Countries,Hard,PAKISTAN,A country in South Asia.
Countries,Hard,ZIMBABWE,A landlocked country in Africa.
Countries,Hard,CAMBODIA,A country in Southeast Asia.
Countries,Hard,BULGARIA,A country in Southeast Europe.
Foods,Easy,RICE,A staple grain crop.
Foods,Easy,CORN,A yellow cereal grain.
Foods,Easy,CAKE,A baked sweet dessert.
Foods,Easy,MILK,A dairy drink from cows.
